condition_id,category,winner_token,redeem_qty,redeem_payout_usdc,cost_basis_of_redeemed_qty,qty0_at_resolution,qty1_at_resolution,matched_at_resolution,unmatched_winner_qty_at_resolution,unmatched_loser_qty_at_resolution,ambiguous_complete_set_vs_winner_residual
0x5d9f29c88c72c37620776cd11833cbd1eec281ebb202959fa08d651986372405,Sports,52250074000430817366566591225033928659070255313196748720758973920323893573075,8.575345,8.575345,6.709511,8.575345,0.000000,0.000000,8.575345,0.000000,0
0x2253820934e8d1eda721740f1d01e5ee2ff1623745827c7bff25ce76c944d2cb,Sports,43910781936379616911602283967995677144289100393398423053532510086736525699181,21.333332,0.000000,4.336612,0.000000,21.333332,0.000000,0.000000,21.333332,0
0xab23baa953f2dd1e245958ebdb6b82df1030a61c286b82b6260fb41ef52049a2,Sports,102185773370060505031179652770721817521623909691738234494925675878552059231673,37.176385,0.000000,10.991876,37.176385,0.000000,0.000000,0.000000,37.176385,0
0xd39156a6a05b53274aa88ba619a5bea2f5edfc211a3fa96dda61e1917808b22a,Sports,58431436714450431957348016841625347757130125910738230650811138563169402026932,35.000000,35.000000,29.137500,0.000000,35.000000,0.000000,35.000000,0.000000,0
0x8b071bcfe1961da0c7b3ed71285bda1d61fd983c9591beb25acc89c71753986d,Sports,91787531950115701171112512505986038995351634109502539837984880386878740801715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0x065ef66fa78badddcad0fcf65b664453093b2b6d398e4f29f30076e977cdbefb,Sports,76229689047948931418180233048083383826117210220853253452352847599071207459112,18.315423,18.315423,15.075621,18.315423,0.000000,0.000000,18.315423,0.000000,0
0xe2189c0d2f68d6be611f1f541ba7cd042a78e83ab24a92b9c9d6c6d293a0838f,Sports,73171471517636604683610913848360714890244172702463326316672668546609142036366,1.129361,0.000000,0.125190,0.000000,1.129361,0.000000,0.000000,1.129361,0
0x9e6c7dccfd9c48392c7442f4037991fba955ed610ecab90140a7b03ac51cc86b,Sports,15760971299519000579608959832283821032234150526211495475301189720207583552547,30.710000,30.710000,28.253200,0.000000,30.710000,0.000000,30.710000,0.000000,0
0x9dd46d22b71176979c5a241c90993f5b35d4cd471f35768ae46106e5fd69eb87,Sports,7974007104636476225972317300126579597273106293230079031366863569672507943074,20.000000,20.000000,17.866667,0.000000,20.000000,0.000000,20.000000,0.000000,0
0x77e2670d95eb00fe59141b91f347614bd888d90664828377ed46dee878faf680,Sports,211919338065738976918290940496221603974514081661210614308083823895834839636,20.000000,0.000000,9.000000,0.000000,20.000000,0.000000,0.000000,20.000000,0
0x797da4a0d820e9b863a1ae02857b81a78ad57c27e7f7dcd6b5e09bef3b672188,Sports,63123767299074332491894384999537215531097119219295230079414084901844584671517,30.292834,0.000000,8.503643,30.292834,0.000000,0.000000,0.000000,30.292834,0
0x57c150c26f6f10b5adcc52f2bb84c31b786b0675a1964ed829db0de7d7681106,Sports,87137526843669092179346253731061156196431786310537131200179842658989881902914,80.000000,40.000000,37.600000,40.000000,40.000000,40.000000,0.000000,0.000000,1
